"site";"buildings";"elevation";"farmland";"forest";"glacier";"grassland";"lakes";"northness";"rivers";"roads";"rocks";"shoreline";"slope";"structures";"wetlands";"x_lv95";"y_lv95";"kmx_lv03";"kmy_lv03";"Latitude";"Longitude";"x";"y";"id"
6244;9343;430;0.59;0.11;0;0.14;0;0.2;0;2836;0;0;7;0.03;0;2662500;1265499;662;265;47.54;8.27;662500;265500;"662500_265500"
6218;10942;475;0.01;0.23;0;0.41;0.08;-0.18;1219;4872;0.01;1874;4.7;0.02;5160;2663500;1197499;663;197;46.93;8.27;663500;197500;"663500_197500"
6227;34646;467;0.28;0.01;0;0.33;0.11;0.17;5545;5508;0;1622;1.7;0.02;48381;2663500;1225499;663;225;47.18;8.28;663500;225500;"663500_225500"
6234;122745;452;0.21;0.06;0;0.09;0;-0.38;0;14388;0;0;4.9;0.01;2352;2663500;1245499;663;245;47.36;8.28;663500;245500;"663500_245500"
6248;64257;396;0.03;0.41;0;0.2;0;0.55;0;9878;0;0;10.5;0.02;0;2663500;1271499;663;271;47.59;8.28;663500;271500;"663500_271500"
6433;61;2310;0;0;0;0.79;0;-0.51;705;0;0.1;0;28.8;0.09;0;2664500;1137499;664;137;46.39;8.28;664500;137500;"664500_137500"
6434;839;2202;0;0;0;0.66;0;0.32;1328;16;0.09;0;27.3;0.24;0;2664500;1145499;664;145;46.46;8.28;664500;145500;"664500_145500"
6204;5918;1427;0;0.47;0;0.42;0;0.35;2300;652;0;0;19.6;0.07;0;2664500;1148499;664;148;46.48;8.28;664500;148500;"664500_148500"
6208;4046;1108;0;0.19;0;0.58;0;0.7;2618;3195;0.02;0;17;0.17;0;2664500;1167499;664;167;46.66;8.28;664500;167500;"664500_167500"
6215;8336;1149;0;0.32;0;0.63;0;0.48;3619;2190;0;0;22.6;0.02;0;2664500;1183499;664;183;46.8;8.28;664500;183500;"664500_183500"
6223;9708;436;0.08;0.03;0;0.39;0.22;0.22;2651;2279;0.01;3303;0.6;0.02;140633;2664500;1200499;664;200;46.95;8.29;664500;200500;"664500_200500"
6228;4932;503;0.47;0.23;0;0.24;0;0.44;3931;2418;0;0;1.9;0.03;0;2664500;1221499;664;221;47.14;8.29;664500;221500;"664500_221500"
6201;207;2283;0;0;0;0.82;0;0.15;3541;0;0.14;0;21.1;0.02;21645;2665500;1136499;665;136;46.38;8.29;665500;136500;"665500_136500"
6209;683;1367;0;0.6;0;0.22;0;-0.69;3780;3339;0.01;0;32.2;0.15;0;2665500;1168499;665;168;46.66;8.29;665500;168500;"665500_168500"
6212;13;1385;0;0.08;0;0.62;0;-0.14;3339;1336;0.05;0;29.2;0.23;0;2665500;1177499;665;177;46.75;8.3;665500;177500;"665500_177500"
6216;4732;908;0;0.28;0;0.62;0;0.14;4593;2573;0;0;23.1;0.03;85798;2665500;1188499;665;188;46.84;8.3;665500;188500;"665500_188500"
6229;8449;506;0.57;0.1;0;0.24;0;-0.25;3246;2873;0;0;4;0.07;0;2665500;1225499;665;225;47.18;8.3;665500;225500;"665500_225500"
6240;16092;411;0.37;0.54;0;0.02;0.01;-0.23;1596;653;0;452;3.9;0;13444;2665500;1251499;665;251;47.41;8.31;665500;251500;"665500_251500"
6205;41;2210;0;0;0;0.9;0;-0.06;3167;0;0.04;0;24.2;0.04;13346;2666500;1153499;666;153;46.53;8.31;666500;153500;"666500_153500"
6485;107;2606;0;0;0;0.19;0;0.1;367;0;0.81;181;24.3;0;0;2666500;1155499;666;155;46.55;8.31;666500;155500;"666500_155500"
6435;0;2126;0;0.01;0;0.67;0;-0.51;483;0;0.15;0;28.3;0.17;0;2666500;1169499;666;169;46.67;8.31;666500;169500;"666500_169500"
6219;3378;1052;0;0.38;0;0.6;0;0.27;229;2041;0;0;24;0;0;2666500;1194499;666;194;46.9;8.31;666500;194500;"666500_194500"
