"site";"date";"survey";"time"
5781;2013-05-11;1584;255
5781;2013-06-06;1585;250
6438;2013-05-13;1588;285
6438;2013-06-09;1589;260
6391;2013-04-25;1598;140
6391;2013-05-14;1599;120
6391;2013-06-05;1600;110
6123;2013-04-24;1601;185
6123;2013-05-13;1602;190
6123;2013-06-08;1603;195
6964;2013-05-15;1606;225
6964;2013-06-07;1607;210
6859;2013-05-03;1608;245
6847;2013-05-13;1611;185
6847;2013-06-06;1612;205
6393;2013-05-01;1613;185
6393;2013-06-08;1614;160
6846;2013-05-14;1615;205
6846;2013-06-08;1616;180
5117;2013-04-17;1633;211
5117;2013-05-07;1634;215
5117;2013-05-27;1635;195
6848;2013-05-09;1645;255
6848;2013-05-18;1646;210
6848;2013-06-08;1647;215
5929;2013-04-25;1648;180
5929;2013-05-11;1649;190
6292;2013-06-08;1651;175
6293;2013-06-07;1652;250
5929;2013-06-06;1659;160
5475;2013-04-21;1668;140
5475;2013-05-04;1669;130
5475;2013-05-20;1670;130
6179;2013-04-13;1671;320
6179;2013-05-05;1672;260
6179;2013-06-08;1673;305
6873;2013-04-14;1675;225
6873;2013-05-09;1676;205
6873;2013-06-07;1677;240
6170;2013-06-07;1683;300
5372;2013-04-25;1684;170
5372;2013-05-23;1685;200
5372;2013-06-08;1686;230
5224;2013-04-25;1687;120
5224;2013-05-24;1688;125
5224;2013-06-14;1689;120
6171;2013-04-24;1696;300
6171;2013-05-01;1697;240
6171;2013-05-27;1698;270
6675;2013-04-17;1718;125
6675;2013-05-05;1719;120
6675;2013-05-28;1720;135
6164;2013-05-13;1723;210
6164;2013-05-20;1724;195
6164;2013-06-08;1725;235
6188;2013-06-08;1727;200
6403;2013-04-14;1737;135
6403;2013-05-12;1738;120
6403;2013-06-02;1739;158
6432;2013-04-25;1748;190
6432;2013-05-18;1749;195
6432;2013-06-03;1750;190
7137;2013-05-05;1754;255
7137;2013-05-28;1755;270
6791;2013-04-13;1757;230
6791;2013-05-18;1758;240
6791;2013-06-08;1759;240
6325;2013-04-14;1763;195
6325;2013-05-18;1764;200
6325;2013-06-07;1765;210
5440;2013-05-01;1766;185
5440;2013-05-21;1767;192
5800;2013-05-07;1772;222
5800;2013-05-22;1773;195
5800;2013-06-11;1774;230
7308;2013-05-20;1778;225
7308;2013-06-12;1779;239
6161;2013-04-25;1795;240
6161;2013-05-25;1796;240
6161;2013-06-08;1797;240
6157;2013-04-26;1800;255
6157;2013-05-06;1801;270
6157;2013-05-27;1802;270
6439;2013-05-02;1803;235
6439;2013-05-14;1804;210
6439;2013-05-28;1805;215
5714;2013-05-02;1809;180
5714;2013-05-20;1810;210
5714;2013-05-30;1811;210
5936;2013-04-14;1812;210
5936;2013-05-05;1813;215
5936;2013-05-18;1814;200
6897;2013-04-15;1827;270
6897;2013-05-03;1828;305
6897;2013-06-05;1829;320
6229;2013-04-16;1830;200
6229;2013-05-01;1831;215
6773;2013-06-08;1834;255
6495;2013-05-05;1835;215
6495;2013-06-09;1836;240
6327;2013-05-08;1837;210
6327;2013-06-05;1838;195
7084;2013-04-28;1839;225
7084;2013-05-09;1840;205
7084;2013-06-09;1841;235
6229;2013-06-04;1848;200
6772;2013-06-07;1849;285
