"x"	"y"	"buildings"	"elevation"	"farmland"	"forest"	"glacier"	"grassland"	"lakes"	"northness"	"rivers"	"roads"	"rocks"	"shoreline"	"slope"	"structures"	"wetlands"
641500	186500	715	1481	0	0.6	0	0.31	0	-0.33	378	458	0	0	15.2	0.06	33691
642500	186500	730	1294	0	0.32	0	0.61	0	-0.02	5931	716	0.02	0	17.3	0.05	22269
643500	186500	4318	1192	0	0.4	0	0.49	0	0.57	6512	2149	0.03	0	17.7	0.04	1604
644500	186500	12531	1161	0	0.33	0	0.49	0	-0.03	5960	4825	0	0	16.6	0.06	0
645500	186500	12393	1300	0	0.28	0	0.58	0	-0.79	2575	2733	0	0	21.2	0.04	0
646500	186500	255	1528	0	0.53	0	0.15	0	-0.68	1720	181	0.17	0	29.3	0.15	0
647500	186500	333	1700	0	0.31	0	0.59	0	-0.33	1974	0	0.01	0	22.6	0.09	24585
648500	186500	850	1558	0	0.11	0	0.72	0	0.3	3504	506	0.03	219	20.5	0.13	13400
649500	186500	0	1375	0	0.83	0	0.09	0	0.37	6324	177	0	0	19	0.02	0
650500	186500	558	1396	0	0.63	0	0.31	0	0.45	3029	1011	0	0	22.3	0.04	0
651500	186500	3554	1330	0	0.75	0	0.18	0	0.44	1410	1870	0.01	263	12.9	0.04	8978
652500	186500	591	1180	0	0.79	0	0.15	0	0.48	2410	2920	0.01	0	18.9	0.02	0
653500	186500	1916	908	0	0.79	0	0.21	0	0.49	4881	2602	0	0	22.1	0	0
654500	186500	13298	660	0	0.45	0	0.44	0	0.47	4446	5833	0	0	19.9	0.08	0
655500	186500	11842	602	0.01	0.42	0	0.47	0	0.42	1542	4240	0	0	19.2	0.03	0
656500	186500	21264	503	0.01	0.13	0	0.68	0	0.09	3165	7516	0	0	6.7	0.02	0
657500	186500	3569	801	0	0.72	0	0.25	0	0.44	1234	3418	0.02	0	32.2	0	0
658500	186500	497	1003	0	0.74	0	0.23	0	0.35	1372	1168	0	0	36.7	0	0
659500	186500	417	1304	0	0.67	0	0.23	0	-0.4	724	1126	0	0	36.9	0.08	0
660500	186500	160	1731	0	0.12	0	0.59	0	0.29	194	0	0.02	0	36.3	0.27	0
661500	186500	0	1859	0	0.03	0	0.77	0	0.44	0	0	0.13	57	33.3	0.07	0
662500	186500	0	1791	0	0	0	0.84	0	-0.19	0	0	0.07	0	36.1	0.08	0
663500	186500	429	1324	0	0.47	0	0.37	0	-0.16	2439	1251	0.05	0	32.7	0.1	4093
664500	186500	5996	1025	0	0.5	0	0.44	0	0.17	1921	2096	0.01	0	26.9	0.01	0
665500	186500	1819	1188	0	0.48	0	0.47	0	0.25	187	2829	0.01	0	26.1	0.03	0
666500	186500	453	1597	0	0.23	0	0.6	0	0.39	9	244	0.07	0	33.7	0.1	0
667500	186500	405	2015	0	0	0	0.55	0	0.1	0	0	0.43	0	36.1	0.02	0
668500	186500	0	2031	0	0	0	0.57	0	-0.44	27	0	0.42	0	33.9	0	0
669500	186500	0	1847	0	0.06	0	0.63	0	-0.63	0	0	0.24	0	37.5	0.07	0
670500	186500	1098	1346	0	0.37	0	0.5	0	0.12	738	0	0.05	0	34.9	0.08	0
671500	186500	1832	968	0	0.62	0	0.28	0	0.33	1907	1004	0	0	27.7	0.03	0
672500	186500	21453	1131	0	0.45	0	0.36	0	-0.47	612	5380	0.01	0	23.5	0.04	0
673500	186500	81622	1196	0	0.18	0	0.37	0	-0.86	23	8604	0	0	23.7	0.07	0
674500	186500	24275	1203	0	0.38	0	0.5	0	-0.84	1884	3291	0	0	24.6	0.04	0
675500	186500	25703	1160	0	0.63	0	0.22	0	-0.03	949	3087	0	336	23.5	0.01	0
676500	186500	437	1613	0	0.33	0	0.5	0	0.26	0	0	0.09	0	37.3	0.08	0
677500	186500	0	2264	0	0	0	0.42	0	0.12	0	0	0.58	0	40.4	0	0
678500	186500	0	2260	0	0	0	0.15	0	-0.03	12	0	0.85	0	32.3	0	0
679500	186500	0	2455	0	0	0.1	0.16	0	0.08	0	0	0.74	0	35.6	0	0
680500	186500	0	2091	0	0	0.08	0.48	0	0.11	3313	0	0.38	0	28.1	0.04	0
681500	186500	19	1811	0	0	0	0.9	0	-0.4	4122	0	0	0	18.9	0.08	9242
682500	186500	272	1859	0	0	0	0.88	0	0.16	2879	9	0.01	183	19.9	0.08	3857
683500	186500	0	2017	0	0	0	0.73	0	0.22	3025	0	0.23	0	25	0.04	0
684500	186500	0	2299	0	0	0.09	0.19	0	0.45	317	0	0.72	0	33.8	0	0
685500	186500	0	2255	0	0	0.06	0.15	0	0.62	380	0	0.79	0	38.6	0	0
686500	186500	0	2323	0	0	0.04	0.02	0	0.55	0	0	0.94	0	45.8	0	0
687500	186500	0	2210	0	0	0.03	0.16	0	0.04	0	0	0.81	0	47.3	0	0
688500	186500	0	1933	0	0.01	0	0.49	0	-0.52	0	0	0.46	0	44.6	0.04	0
689500	186500	6	1634	0	0.22	0	0.51	0	-0.45	0	0	0.17	0	41.6	0.1	0
690500	186500	3147	1130	0	0.78	0	0.15	0	-0.26	261	2094	0	0	34.4	0.07	0
691500	186500	23584	652	0	0.64	0	0.11	0	0.16	1314	6430	0	0	28.8	0.03	0
692500	186500	109261	510	0	0.29	0	0.11	0	-0.11	826	12197	0	0	12.9	0.01	0
693500	186500	3259	1046	0	0.79	0	0.16	0	-0.31	309	0	0	0	35	0.05	0
694500	186500	0	1658	0	0.28	0	0.34	0	-0.67	355	0	0.13	0	41.3	0.25	0
695500	186500	412	1939	0	0	0	0.57	0	-0.38	58	0	0.15	102	30.7	0.28	0
696500	186500	0	2266	0	0	0	0.41	0	-0.15	0	0	0.59	75	31.2	0	0
697500	186500	0	2185	0	0	0	0.43	0	0.17	161	0	0.57	41	27.5	0	4397
698500	186500	215	2071	0	0	0	0.52	0	0.43	0	0	0.42	0	28.1	0.06	0
699500	186500	0	1926	0	0	0	0.46	0	0.29	0	0	0.44	0	31.8	0.1	0
700500	186500	169	1544	0	0.01	0	0.82	0	0.39	2836	230	0.03	0	19.3	0.14	0
701500	186500	0	1688	0	0.16	0	0.49	0	0.4	3372	0	0.26	0	28.9	0.09	0
702500	186500	0	2270	0	0	0.09	0.08	0	0.05	333	0	0.83	0	43.1	0	0
703500	186500	0	2676	0	0	0.39	0	0	0.15	148	0	0.61	151	37.7	0	0
704500	186500	0	2610	0	0	0.59	0	0	-0.42	681	0	0.4	0	28.4	0	0
705500	186500	0	2689	0	0	0.45	0	0.01	-0.71	1312	0	0.54	0	31.5	0	0
706500	186500	0	2932	0	0	0.63	0	0	-0.18	158	0	0.37	0	33.9	0	0
707500	186500	0	2738	0	0	0.99	0	0	-0.46	0	0	0.01	0	11.1	0	0
708500	186500	0	2674	0	0	1	0	0	-0.68	0	0	0	0	9.1	0	0
709500	186500	0	2812	0	0	0.94	0	0	-0.05	0	0	0.06	0	17.4	0	0
710500	186500	141	2796	0	0	0.57	0	0	-0.14	345	0	0.43	0	26.9	0	0
711500	186500	0	2504	0	0	0.25	0	0	0.65	3401	0	0.75	0	27	0	0
712500	186500	0	2636	0	0	0.45	0	0	0.84	1578	0	0.55	0	37.2	0	0
713500	186500	0	2935	0	0	0.24	0	0	0.46	776	0	0.76	0	48.1	0	0
714500	186500	0	2385	0	0	0.23	0.09	0	0.06	4050	0	0.68	65	29	0	0
715500	186500	351	2041	0	0	0.29	0.33	0	0.49	5285	0	0.37	97	21.8	0	0
