"site";"buildings";"elevation";"farmland";"forest";"glacier";"grassland";"lakes";"northness";"rivers";"roads";"rocks";"shoreline";"slope";"structures";"wetlands";"x_lv95";"y_lv95";"kmx_lv03";"kmy_lv03";"Latitude";"Longitude";"id";"ID";"ent1.1";"ent1.2";"ent2";"x";"y";"optional"
"69";5199;545;444;0.97;0.01;0;0.01;0;0.05;1251;0;0;0;0.8;0.01;0;2531500;1169499;531;169;46.67;6.54;"531500_169500";69;2.30964032006345;32.1201423250515;145.7905717527;531500;169500;TRUE
"70";5201;353;441;0.87;0.05;0;0.01;0;0.27;2352;322;0;939;0.4;0.02;20419;2531500;1170499;531;170;46.68;6.54;"531500_170500";70;1.95660722491159;31.6856603124723;59.6123272961014;531500;170500;TRUE
"71";5442;89;486;0.85;0.08;0;0.04;0;-0.35;310;3908;0;0;4.5;0;0;2531500;1178499;531;178;46.75;6.54;"531500_178500";71;1.86138503809776;31.681053267771;149.463906877615;531500;178500;TRUE
"72";5477;85;627;0.52;0.39;0;0.05;0;-0.2;1135;2677;0.02;0;11.1;0;0;2531500;1183499;531;183;46.8;6.54;"531500_183500";72;2.42549986279208;30.9542334073821;176.786840910202;531500;183500;TRUE
"73";5204;459;1447;0;0.39;0;0.55;0;-0.71;0;1633;0;0;11.5;0.05;0;2531500;1188499;531;188;46.84;6.54;"531500_188500";73;1.52424679681785;23.656928999521;63.0065216058713;531500;188500;TRUE
"74";5207;1551;1436;0;0.46;0;0.41;0;0.5;0;1220;0;0;12.3;0.13;0;2532500;1190499;532;190;46.86;6.55;"532500_190500";74;1.62648543196832;22.3957366472905;30.8325199303625;532500;190500;TRUE
"75";5195;1835;581;0.41;0.53;0;0.04;0;-0.5;1128;1981;0;0;5.2;0;0;2533500;1159499;533;159;46.58;6.57;"533500_159500";75;2.3396283744232;45.1333507046969;383.097315094554;533500;159500;TRUE
"76";5209;2845;1083;0;0.23;0;0.61;0.09;0.61;41;2097;0;1237;7.4;0.05;10545;2533500;1201499;533;201;46.96;6.56;"533500_201500";76;0.883987367229821;12.3281583478853;21.8418258049006;533500;201500;TRUE
"77";5441;9492;599;0.44;0.36;0;0.05;0;-0.03;918;4380;0;0;2.1;0;59677;2534500;1162499;534;162;46.61;6.58;"534500_162500";77;2.62278750492144;38.5637003468097;482.259608284327;534500;162500;TRUE
"78";5202;22484;442;0.75;0;0;0.09;0;-0.38;1066;6828;0;0;2.2;0;0;2534500;1179499;534;179;46.76;6.58;"534500_179500";78;2.33401240394432;36.1482026804408;123.661728590715;534500;179500;TRUE
"79";5196;78750;574;0.24;0.24;0;0.04;0;-0.29;2304;8664;0;0;4.7;0.04;0;2535500;1157499;535;157;46.57;6.6;"535500_157500";79;2.62552876582667;52.8166060916601;299.859778538739;535500;157500;TRUE
"80";5205;12714;555;0.32;0.44;0;0.2;0;-0.14;1603;3864;0;0;9.6;0;1342;2535500;1186499;535;186;46.83;6.59;"535500_186500";80;2.26872865998479;38.0094702841392;254.968942425125;535500;186500;TRUE
"81";5440;83329;377;0;0;0;0;0.48;-0.4;0;7793;0;1608;1.6;0.12;0;2536500;1151499;536;151;46.51;6.61;"536500_151500";81;3.32931063623237;66.2485720664511;1590.92990521796;536500;151500;TRUE
"82";5208;2853;1166;0.01;0.17;0;0.78;0;0;0;136;0;0;12;0.03;0;2536500;1199499;536;199;46.94;6.6;"536500_199500";82;0.762129234383819;17.8776057205;14.7830545191968;536500;199500;TRUE
"83";5206;14409;1054;0;0.49;0;0.3;0;-0.91;0;6889;0;0;20.3;0.06;0;2537500;1189499;537;189;46.85;6.62;"537500_189500";83;1.13241488792405;32.9896981110402;24.0583659761602;537500;189500;TRUE
"84";7582;422784;508;0;0;0;0;0;-0.57;1587;21245;0;0;7.8;0.1;0;2538500;1152499;538;152;46.52;6.64;"538500_152500";84;3.25551707064449;72.8233068015067;694.433014386691;538500;152500;TRUE
"85";5197;180486;578;0;0.16;0;0.03;0;-0.42;1916;14470;0;0;11.9;0.06;0;2538500;1153499;538;153;46.53;6.64;"538500_153500";85;3.19575006970039;71.6381785418432;559.401580009553;538500;153500;TRUE
"86";5200;124827;622;0.27;0;0;0.16;0;0.56;670;12469;0;0;1.8;0;0;2538500;1165499;538;165;46.64;6.64;"538500_165500";86;1.87268248499991;33.1753304638833;134.62133970351;538500;165500;TRUE
"87";5203;35232;566;0.25;0.34;0;0.29;0;0.16;3782;3730;0;0;10.1;0;0;2538500;1174499;538;174;46.72;6.63;"538500_174500";87;2.27440306618867;32.2689275997013;131.749567316422;538500;174500;TRUE
"88";5212;3440;1052;0;0.01;0;0.82;0;-0.28;0;1157;0;0;2.7;0;8782;2538500;1204499;538;204;46.99;6.63;"538500_204500";88;1.2558706677546;12.0572586038107;5.55988059340738;538500;204500;TRUE
"89";5224;189;656;0.71;0.19;0;0.06;0;0.6;392;2333;0;0;5.5;0.03;0;2540500;1175499;540;175;46.73;6.66;"540500_175500";89;1.93811486772236;36.4340436527186;183.577016436841;540500;175500;TRUE
"90";5443;32157;488;0.38;0.09;0;0.15;0;-0.73;1621;10978;0;133;6.9;0.02;0;2540500;1187499;540;187;46.84;6.66;"540500_187500";90;2.7602629440827;59.3367624329236;330.342864465638;540500;187500;TRUE
"91";5216;1868;839;0.09;0.76;0;0.09;0;-0.02;2349;2897;0;0;5.4;0;0;2541500;1158499;541;158;46.58;6.68;"541500_158500";91;1.74704876030375;31.9162838933453;54.6072638635033;541500;158500;TRUE
"92";5231;902;1319;0;0.29;0;0.62;0;-0.07;0;1537;0;0;8;0.09;0;2541500;1194499;541;194;46.9;6.67;"541500_194500";92;1.1057170226442;20.5171365377458;12.4544394828471;541500;194500;TRUE
"93";5234;2224;1058;0;0.08;0;0.73;0;-0.31;0;2657;0;0;3.6;0.01;9083;2541500;1206499;541;206;47.01;6.67;"541500_206500";93;1.34462365591773;13.8000845843513;18.4319989967432;541500;206500;TRUE
