"site";"date";"det";"time";"survey";"visit";"buildings";"elevation";"farmland";"forest";"glacier";"grassland";"lakes";"northness";"rivers";"roads";"rocks";"shoreline";"slope";"structures";"wetlands";"x_lv95";"y_lv95";"kmx_lv03";"kmy_lv03";"Latitude";"Longitude";"x";"y";"id"
6346;2014-05-13;0;300;5818;2;5272;1076;0;0.73;0;0.17;0;-0.67;4317;0;0;0;33.6;0.09;0;2693500;1114499;693;114;46.18;8.65;693500;114500;"693500_114500"
6346;2014-06-03;0;300;5831;3;5272;1076;0;0.73;0;0.17;0;-0.67;4317;0;0;0;33.6;0.09;0;2693500;1114499;693;114;46.18;8.65;693500;114500;"693500_114500"
6347;2016-04-19;0;230;11706;1;89309;278;0;0.15;0;0.15;0;-0.68;2698;10961;0;0;9.5;0.06;0;2699500;1115499;699;115;46.18;8.73;699500;115500;"699500_115500"
6347;2016-05-09;0;225;11739;2;89309;278;0;0.15;0;0.15;0;-0.68;2698;10961;0;0;9.5;0.06;0;2699500;1115499;699;115;46.18;8.73;699500;115500;"699500_115500"
6347;2016-05-24;0;225;11740;3;89309;278;0;0.15;0;0.15;0;-0.68;2698;10961;0;0;9.5;0.06;0;2699500;1115499;699;115;46.18;8.73;699500;115500;"699500_115500"
6348;2014-04-15;0;195;5282;1;3175;414;0;0.78;0;0.02;0;0.33;5785;0;0;0;15.4;0;0;2693500;1126499;693;126;46.28;8.65;693500;126500;"693500_126500"
6348;2014-05-05;0;170;5305;2;3175;414;0;0.78;0;0.02;0;0.33;5785;0;0;0;15.4;0;0;2693500;1126499;693;126;46.28;8.65;693500;126500;"693500_126500"
6348;2014-05-21;0;165;5335;3;3175;414;0;0.78;0;0.02;0;0.33;5785;0;0;0;15.4;0;0;2693500;1126499;693;126;46.28;8.65;693500;126500;"693500_126500"
6349;2015-04-20;0;180;9798;1;5413;1142;0;0.74;0;0.06;0;-0.72;1093;0;0.02;0;31.9;0.15;0;2693500;1128499;693;128;46.3;8.65;693500;128500;"693500_128500"
6349;2015-05-16;0;220;9817;2;5413;1142;0;0.74;0;0.06;0;-0.72;1093;0;0.02;0;31.9;0.15;0;2693500;1128499;693;128;46.3;8.65;693500;128500;"693500_128500"
6349;2015-06-10;0;200;9838;3;5413;1142;0;0.74;0;0.06;0;-0.72;1093;0;0.02;0;31.9;0.15;0;2693500;1128499;693;128;46.3;8.65;693500;128500;"693500_128500"
6350;2014-04-17;0;270;3962;1;18408;930;0;0.51;0;0.21;0;-0.71;937;2201;0.01;0;32.8;0.2;0;2692500;1135499;692;135;46.36;8.64;692500;135500;"692500_135500"
6350;2014-05-08;0;275;4251;2;18408;930;0;0.51;0;0.21;0;-0.71;937;2201;0.01;0;32.8;0.2;0;2692500;1135499;692;135;46.36;8.64;692500;135500;"692500_135500"
6350;2014-05-21;0;250;4410;3;18408;930;0;0.51;0;0.21;0;-0.71;937;2201;0.01;0;32.8;0.2;0;2692500;1135499;692;135;46.36;8.64;692500;135500;"692500_135500"
6351;2016-06-05;0;360;12305;1;0;2033;0;0;0;0.46;0.01;-0.32;920;0;0.3;434;31.3;0.22;0;2694500;1130499;694;130;46.32;8.67;694500;130500;"694500_130500"
6351;2016-06-19;0;350;12769;2;0;2033;0;0;0;0.46;0.01;-0.32;920;0;0.3;434;31.3;0.22;0;2694500;1130499;694;130;46.32;8.67;694500;130500;"694500_130500"
6352;2014-04-25;0;310;4540;1;6605;810;0;0.71;0;0.11;0;-0.05;2511;2438;0.05;0;28.3;0.03;0;2694500;1137499;694;137;46.38;8.67;694500;137500;"694500_137500"
6352;2014-05-05;0;210;4549;2;6605;810;0;0.71;0;0.11;0;-0.05;2511;2438;0.05;0;28.3;0.03;0;2694500;1137499;694;137;46.38;8.67;694500;137500;"694500_137500"
6352;2014-05-30;0;190;4555;3;6605;810;0;0.71;0;0.11;0;-0.05;2511;2438;0.05;0;28.3;0.03;0;2694500;1137499;694;137;46.38;8.67;694500;137500;"694500_137500"
6353;2014-04-24;0;240;4076;1;3419;1159;0;0.68;0;0.07;0;0;3157;63;0.05;0;37.9;0.16;0;2696500;1138499;696;138;46.39;8.69;696500;138500;"696500_138500"
6353;2014-05-16;0;245;4412;2;3419;1159;0;0.68;0;0.07;0;0;3157;63;0.05;0;37.9;0.16;0;2696500;1138499;696;138;46.39;8.69;696500;138500;"696500_138500"
6353;2014-05-28;0;210;4573;3;3419;1159;0;0.68;0;0.07;0;0;3157;63;0.05;0;37.9;0.16;0;2696500;1138499;696;138;46.39;8.69;696500;138500;"696500_138500"
6354;2015-06-10;0;230;9122;1;526;1719;0;0.62;0;0.18;0;-0.02;2964;867;0.08;0;28.8;0.11;0;2690500;1148499;690;148;46.48;8.62;690500;148500;"690500_148500"
6354;2015-06-24;0;260;10128;2;526;1719;0;0.62;0;0.18;0;-0.02;2964;867;0.08;0;28.8;0.11;0;2690500;1148499;690;148;46.48;8.62;690500;148500;"690500_148500"
6354;2015-07-10;0;255;10135;3;526;1719;0;0.62;0;0.18;0;-0.02;2964;867;0.08;0;28.8;0.11;0;2690500;1148499;690;148;46.48;8.62;690500;148500;"690500_148500"
