number;channel;site;q;year;season
369;ENIL;AV;1;05;E
370;ENIL;AV;2;05;E
371;ENIL;AV;4;05;E
372;ENIL;AV;1;06;P
373;ENIL;AV;2;06;P
374;ENIL;AV;3;06;P
375;ENIL;AV;4;06;P
376;ENIL;AV;1;07;P
377;ENIL;AV;2;07;P
378;ENIL;AV;3;07;P
379;ENIL;AV;2;07;E
380;ENIL;AV;3;07;E
381;ENIL;AV;4;07;E
382;ENIL;AV;1;09;P
383;ENIL;AV;2;09;P
384;ENIL;AV;4;09;P
385;ENIL;AV;1;09;E
386;ENIL;AV;3;09;E
387;ENIL;AV;4;09;E
388;ENIL;AV;1;11;P
389;ENIL;AV;3;11;P
390;ENIL;AV;4;11;P
391;ENIL;AV;1;11;E
392;ENIL;AV;3;11;E
393;ENIL;AV;4;11;E
394;ENIL;AV;1;12;P
395;ENIL;AV;2;12;P
396;ENIL;AV;3;12;P
397;ENIL;AV;1;12;E
398;ENIL;AV;2;12;E
399;ENIL;AV;4;12;E
400;ENIL;AV;2;13;P
401;ENIL;AV;3;13;P
402;ENIL;AV;4;13;P
403;ENIL;AV;1;13;E
404;ENIL;AV;2;13;E
405;ENIL;AV;3;13;E
406;ENIL;AV;1;15;P
407;ENIL;AV;3;15;P
408;ENIL;AV;4;15;P
409;ENIL;AV;1;15;E
410;ENIL;AV;3;15;E
411;ENIL;AV;4;15;E
412;ENIL;AV;2;16;P
413;ENIL;AV;3;16;P
414;ENIL;AV;4;16;P
415;ENIL;AV;1;16;E
416;ENIL;AV;2;16;E
417;ENIL;AV;3;16;E
418;ENIL;AVN;2;05;E
419;ENIL;AVN;3;05;E
420;ENIL;AVN;4;05;E
421;ENIL;AVN;1;06;P
422;ENIL;AVN;2;06;P
423;ENIL;AVN;4;06;P
424;ENIL;AVN;1;07;P
425;ENIL;AVN;2;07;P
426;ENIL;AVN;4;07;P
427;ENIL;AVN;1;07;E
428;ENIL;AVN;2;07;E
429;ENIL;AVN;4;07;E
430;ENIL;AVN;1;09;P
431;ENIL;AVN;2;09;P
432;ENIL;AVN;3;09;P
433;ENIL;AVN;2;09;E
434;ENIL;AVN;3;09;E
435;ENIL;AVN;4;09;E
436;ENIL;AVN;1;11;P
437;ENIL;AVN;2;11;P
438;ENIL;AVN;3;11;P
439;ENIL;AVN;1;11;E
440;ENIL;AVN;2;11;E
441;ENIL;AVN;4;11;E
442;ENIL;AVN;1;12;P
443;ENIL;AVN;2;12;P
444;ENIL;AVN;3;12;P
445;ENIL;AVN;1;12;E
446;ENIL;AVN;2;12;E
447;ENIL;AVN;4;12;E
448;ENIL;AVN;1;13;P
449;ENIL;AVN;3;13;P
450;ENIL;AVN;4;13;P
451;ENIL;AVN;1;13;E
452;ENIL;AVN;2;13;E
453;ENIL;AVN;4;13;E
454;ENIL;AVN;1;15;P
455;ENIL;AVN;2;15;P
456;ENIL;AVN;3;15;P
457;ENIL;AVN;1;15;E
458;ENIL;AVN;2;15;E
459;ENIL;AVN;3;15;E
460;ENIL;AVN;1;16;P
461;ENIL;AVN;2;16;P
462;ENIL;AVN;3;16;P
463;ENIL;AVN;2;16;E
464;ENIL;AVN;3;16;E
465;ENIL;AVN;4;16;E
466;FOUR;AM;1;03;E
467;FOUR;AM;2;03;E
468;FOUR;AM;3;03;E
469;FOUR;AM;4;03;E
470;FOUR;AM;1;04;P
471;FOUR;AM;2;04;P
472;FOUR;AM;3;04;P
473;FOUR;AM;4;04;P
474;FOUR;AM;1;07;P
475;FOUR;AM;2;07;P
476;FOUR;AM;4;07;P
477;FOUR;AM;1;07;E
478;FOUR;AM;2;07;E
479;FOUR;AM;4;07;E
480;FOUR;AM;1;09;P
481;FOUR;AM;2;09;P
482;FOUR;AM;4;09;P
483;FOUR;AM;2;09;E
484;FOUR;AM;3;09;E
485;FOUR;AM;4;09;E
486;FOUR;AM;1;11;P
487;FOUR;AM;3;11;P
488;FOUR;AM;4;11;P
489;FOUR;AM;1;11;E
490;FOUR;AM;2;11;E
491;FOUR;AM;4;11;E
492;FOUR;AM;1;12;P
493;FOUR;AM;2;12;P
494;FOUR;AM;3;12;P
495;FOUR;AM;1;12;E
496;FOUR;AM;2;12;E
497;FOUR;AM;3;12;E
498;FOUR;AM;2;13;P
499;FOUR;AM;3;13;P
500;FOUR;AM;4;13;P
501;FOUR;AM;2;13;E
502;FOUR;AM;3;13;E
503;FOUR;AM;4;13;E
504;FOUR;AM;1;15;P
505;FOUR;AM;2;15;P
506;FOUR;AM;3;15;P
507;FOUR;AM;2;15;E
508;FOUR;AM;3;15;E
509;FOUR;AM;4;15;E
510;FOUR;AM;2;16;P
511;FOUR;AM;3;16;P
512;FOUR;AM;4;16;P
513;FOUR;AM;1;16;E
514;FOUR;AM;2;16;E
515;FOUR;AM;3;16;E
516;FOUR;AV;1;03;E
517;FOUR;AV;2;03;E
518;FOUR;AV;3;03;E
519;FOUR;AV;4;03;E
520;FOUR;AV;1;04;P
521;FOUR;AV;2;04;P
522;FOUR;AV;3;04;P
523;FOUR;AV;4;04;P
524;FOUR;AV;2;07;P
525;FOUR;AV;3;07;P
526;FOUR;AV;4;07;P
527;FOUR;AV;1;07;E
528;FOUR;AV;2;07;E
529;FOUR;AV;3;07;E
530;FOUR;AV;1;09;P
531;FOUR;AV;2;09;P
532;FOUR;AV;4;09;P
533;FOUR;AV;1;09;E
534;FOUR;AV;3;09;E
535;FOUR;AV;4;09;E
536;FOUR;AV;1;11;P
537;FOUR;AV;3;11;P
538;FOUR;AV;4;11;P
539;FOUR;AV;1;11;E
540;FOUR;AV;2;11;E
541;FOUR;AV;3;11;E
542;FOUR;AV;1;12;P
543;FOUR;AV;2;12;P
544;FOUR;AV;4;12;P
545;FOUR;AV;1;12;E
546;FOUR;AV;2;12;E
547;FOUR;AV;4;12;E
548;FOUR;AV;1;13;P
549;FOUR;AV;2;13;P
550;FOUR;AV;3;13;P
551;FOUR;AV;1;13;E
552;FOUR;AV;2;13;E
553;FOUR;AV;3;13;E
554;FOUR;AV;1;15;P
555;FOUR;AV;2;15;P
556;FOUR;AV;4;15;P
557;FOUR;AV;1;15;E
558;FOUR;AV;3;15;E
559;FOUR;AV;4;15;E
560;FOUR;AV;1;16;P
561;FOUR;AV;3;16;P
562;FOUR;AV;4;16;P
563;FOUR;AV;1;16;E
564;FOUR;AV;3;16;E
565;FOUR;AV;4;16;E
566;GRAN;AM;1;04;E
567;GRAN;AM;2;04;E
568;GRAN;AM;3;04;E
569;GRAN;AM;4;04;E
570;GRAN;AM;1;05;P
571;GRAN;AM;2;05;P
572;GRAN;AM;3;05;P
573;GRAN;AM;4;05;P
574;GRAN;AM;1;08;P
575;GRAN;AM;2;08;P
576;GRAN;AM;3;08;P
577;GRAN;AM;1;08;E
578;GRAN;AM;2;08;E
579;GRAN;AM;3;08;E
580;GRAN;AM;1;10;P
581;GRAN;AM;2;10;P
582;GRAN;AM;3;10;P
583;GRAN;AM;2;10;E
584;GRAN;AM;3;10;E
585;GRAN;AM;4;10;E
586;GRAN;AM;1;12;P
587;GRAN;AM;2;12;P
588;GRAN;AM;3;12;P
589;GRAN;AM;1;12;E
590;GRAN;AM;2;12;E
591;GRAN;AM;4;12;E
592;GRAN;AM;1;14;P
593;GRAN;AM;2;14;P
594;GRAN;AM;3;14;P
595;GRAN;AM;1;14;E
596;GRAN;AM;3;14;E
597;GRAN;AM;4;14;E
598;GRAN;AM;2;16;P
599;GRAN;AM;3;16;P
600;GRAN;AM;4;16;P
601;GRAN;AM;2;16;E
602;GRAN;AM;3;16;E
603;GRAN;AM;4;16;E
604;GRAN;AV;1;04;E
605;GRAN;AV;2;04;E
606;GRAN;AV;3;04;E
607;GRAN;AV;4;04;E
608;GRAN;AV;1;05;P
609;GRAN;AV;2;05;P
610;GRAN;AV;3;05;P
611;GRAN;AV;4;05;P
612;GRAN;AV;1;08;P
613;GRAN;AV;2;08;P
614;GRAN;AV;3;08;P
615;GRAN;AV;1;08;E
616;GRAN;AV;2;08;E
617;GRAN;AV;3;08;E
618;GRAN;AV;4;08;E
619;GRAN;AV;1;10;P
620;GRAN;AV;2;10;P
621;GRAN;AV;3;10;P
622;GRAN;AV;1;10;E
623;GRAN;AV;2;10;E
624;GRAN;AV;3;10;E
625;GRAN;AV;2;12;P
626;GRAN;AV;3;12;P
627;GRAN;AV;4;12;P
628;GRAN;AV;1;12;E
629;GRAN;AV;3;12;E
630;GRAN;AV;4;12;E
631;GRAN;AV;2;14;P
632;GRAN;AV;3;14;P
633;GRAN;AV;4;14;P
634;GRAN;AV;1;14;E
635;GRAN;AV;3;14;E
636;GRAN;AV;4;14;E
637;GRAN;AV;1;16;P
638;GRAN;AV;2;16;P
639;GRAN;AV;3;16;P
640;GRAN;AV;1;16;E
641;GRAN;AV;3;16;E
642;GRAN;AV;4;16;E
643;LUCE;AM;1;03;E
644;LUCE;AM;2;03;E
645;LUCE;AM;3;03;E
646;LUCE;AM;4;03;E
647;LUCE;AM;1;04;P
648;LUCE;AM;2;04;P
649;LUCE;AM;3;04;P
650;LUCE;AM;4;04;P
651;LUCE;AM;2;07;P
652;LUCE;AM;3;07;P
653;LUCE;AM;4;07;P
654;LUCE;AM;1;07;E
655;LUCE;AM;2;07;E
656;LUCE;AM;4;07;E
657;LUCE;AM;1;09;P
658;LUCE;AM;2;09;P
659;LUCE;AM;3;09;P
